	Time [s]	Minimum [K]	Maximum [K]	Average [K]	
1	1.e-002	310.15	310.15	310.15	
2	2.e-002	310.15	310.15	310.15	
3	5.e-002	310.15	310.15	310.15	
4	0.14	310.15	310.15	310.15	
5	0.24	310.15	310.15	310.15	
6	0.34	310.15	310.15	310.15	
7	0.44	310.15	310.15	310.15	
8	0.54	310.15	310.15	310.15	
9	0.64	310.15	310.15	310.15	
10	0.74	310.15	310.15	310.15	
11	0.84	310.15	310.15	310.15	
12	0.94	310.15	310.15	310.15	
13	1.04	310.15	310.15	310.15	
14	1.14	310.15	310.15	310.15	
15	1.24	310.15	310.15	310.15	
16	1.34	310.15	310.15	310.15	
17	1.44	310.15	310.15	310.15	
18	1.54	310.15	310.15	310.15	
19	1.64	310.15	310.15	310.15	
20	1.74	310.15	310.15	310.15	
21	1.84	310.15	310.15	310.15	
22	1.94	310.15	310.15	310.15	
23	2.04	310.15	310.15	310.15	
24	2.14	310.15	310.15	310.15	
25	2.24	310.15	310.15	310.15	
26	2.34	310.15	310.15	310.15	
27	2.44	310.15	310.15	310.15	
28	2.54	310.15	310.15	310.15	
29	2.64	310.15	310.15	310.15	
30	2.74	310.15	310.15	310.15	
31	2.84	310.15	310.15	310.15	
32	2.94	310.15	310.15	310.15	
33	3.04	310.15	310.15	310.15	
34	3.14	310.15	310.15	310.15	
35	3.24	310.15	310.15	310.15	
36	3.34	310.15	310.15	310.15	
37	3.44	310.15	310.15	310.15	
38	3.54	310.15	310.15	310.15	
39	3.64	310.15	310.15	310.15	
40	3.74	310.15	310.15	310.15	
41	3.84	310.15	310.15	310.15	
42	3.94	310.15	310.15	310.15	
43	4.04	310.15	310.15	310.15	
44	4.14	310.15	310.15	310.15	
45	4.24	310.15	310.15	310.15	
46	4.34	310.15	310.15	310.15	
47	4.44	310.15	310.15	310.15	
48	4.54	310.15	310.15	310.15	
49	4.64	310.15	310.15	310.15	
50	4.74	310.15	310.15	310.15	
51	4.84	310.15	310.15	310.15	
52	4.94	310.15	310.15	310.15	
53	5.04	310.15	310.15	310.15	
54	5.14	310.15	310.15	310.15	
55	5.24	310.15	310.15	310.15	
56	5.34	310.15	310.15	310.15	
57	5.44	310.15	310.15	310.15	
58	5.54	310.15	310.15	310.15	
59	5.64	310.15	310.15	310.15	
60	5.74	310.15	310.15	310.15	
61	5.84	310.15	310.15	310.15	
62	5.94	310.15	310.15	310.15	
63	6.04	310.15	310.15	310.15	
64	6.14	310.15	310.15	310.15	
65	6.24	310.15	310.15	310.15	
66	6.34	310.15	310.15	310.15	
67	6.44	310.15	310.15	310.15	
68	6.54	310.15	310.15	310.15	
69	6.64	310.15	310.15	310.15	
70	6.74	310.15	310.15	310.15	
71	6.84	310.15	310.15	310.15	
72	6.94	310.15	310.15	310.15	
73	7.04	310.15	310.15	310.15	
74	7.14	310.15	310.15	310.15	
75	7.24	310.15	310.15	310.15	
76	7.34	310.15	310.15	310.15	
77	7.44	310.15	310.15	310.15	
78	7.54	310.15	310.15	310.15	
79	7.64	310.15	310.15	310.15	
80	7.74	310.15	310.15	310.15	
81	7.84	310.15	310.15	310.15	
82	7.94	310.15	310.15	310.15	
83	8.04	310.15	310.15	310.15	
84	8.14	310.15	310.15	310.15	
